epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1502.28,1.26267,1.29559,1.256,0.83267,0.48438,0.61005,0.32679,1.45685,1.59683,1.30259,0.0005645,0.0005645,0.0005645
60,1528.07,1.23421,1.20807,1.23425,0.73212,0.46875,0.57703,0.32279,1.45682,1.60078,1.30047,0.00053975,0.00053975,0.00053975
61,1553.85,1.27109,1.21734,1.26405,0.64896,0.51562,0.5773,0.32089,1.47008,1.60449,1.30994,0.000515,0.000515,0.000515
62,1579.57,1.22941,1.28463,1.23434,0.62125,0.51262,0.57851,0.31826,1.45301,1.62651,1.2943,0.00049025,0.00049025,0.00049025
63,1605.11,1.17374,1.24135,1.2158,0.75917,0.44339,0.56028,0.31819,1.456,1.64759,1.29323,0.0004655,0.0004655,0.0004655
64,1630.76,1.26923,1.25696,1.24956,0.6191,0.46875,0.55262,0.31074,1.47923,1.66269,1.29483,0.00044075,0.00044075,0.00044075
65,1656.43,1.15906,1.1841,1.19875,0.52811,0.54213,0.55285,0.3072,1.49087,1.63246,1.30076,0.000416,0.000416,0.000416
66,1681.93,1.19839,1.2022,1.2248,0.54707,0.51562,0.5709,0.31348,1.48459,1.61109,1.28618,0.00039125,0.00039125,0.00039125
67,1707.57,1.14117,1.08942,1.15387,0.63342,0.51562,0.59225,0.3403,1.4811,1.54309,1.30688,0.0003665,0.0003665,0.0003665
68,1733.66,1.34464,1.34863,1.31255,0.65581,0.5,0.59371,0.34575,1.4658,1.55427,1.2972,0.00034175,0.00034175,0.00034175
69,1759.43,1.12514,1.11505,1.16492,0.74526,0.46875,0.59062,0.34705,1.45907,1.55464,1.29278,0.000317,0.000317,0.000317
70,1785,1.15061,1.14963,1.20678,0.74833,0.46875,0.58604,0.35094,1.44746,1.54436,1.29292,0.00029225,0.00029225,0.00029225
71,1809.95,0.95376,1.04641,1.06719,0.61556,0.53125,0.5859,0.34764,1.43584,1.53936,1.28187,0.0002675,0.0002675,0.0002675
72,1834.54,0.88572,0.99654,1.00879,0.7074,0.49117,0.59793,0.35001,1.43513,1.55689,1.27154,0.00024275,0.00024275,0.00024275
73,1859.18,0.87811,1.08365,1.05346,0.70309,0.51562,0.58609,0.33903,1.41124,1.57342,1.25422,0.000218,0.000218,0.000218
74,1884.71,0.88096,0.92297,1.03966,0.69761,0.50472,0.57438,0.33866,1.40503,1.56329,1.24611,0.00019325,0.00019325,0.00019325
75,1909.49,0.84256,1.03107,1.03469,0.66135,0.5,0.56156,0.33281,1.38506,1.59157,1.24255,0.0001685,0.0001685,0.0001685
76,1934.45,0.84183,0.91229,1.01905,0.63786,0.53125,0.57472,0.33615,1.37394,1.59205,1.23573,0.00014375,0.00014375,0.00014375
77,1959.07,0.93597,0.99479,1.05576,0.62023,0.53593,0.58256,0.33324,1.37823,1.56934,1.23556,0.000119,0.000119,0.000119
78,1983.6,0.89964,0.94795,1.03971,0.67171,0.53125,0.5856,0.3405,1.37727,1.545,1.23286,9.425e-05,9.425e-05,9.425e-05
79,2007.04,0.88074,0.91765,1.05565,0.72052,0.51562,0.60979,0.36208,1.37687,1.53248,1.23231,6.95e-05,6.95e-05,6.95e-05
80,2030.39,0.89522,0.90968,1.02033,0.65754,0.54688,0.60349,0.36234,1.37419,1.52239,1.23322,4.475e-05,4.475e-05,4.475e-05
