epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1477.44,0.95167,0.91982,1.07788,0.73077,0.5625,0.65536,0.41239,1.31368,1.36638,1.20522,0.0004654,0.0004654,0.0004654
56,1502.44,0.89646,0.86115,1.02661,0.7057,0.56202,0.65075,0.41232,1.31573,1.38353,1.20866,0.0004555,0.0004555,0.0004555
57,1527.89,0.87138,0.92075,1.00981,0.6718,0.57812,0.64442,0.40605,1.31493,1.38026,1.21035,0.0004456,0.0004456,0.0004456
58,1558.14,0.87601,0.93826,1.05275,0.79062,0.51562,0.64912,0.4126,1.30718,1.37679,1.20404,0.0004357,0.0004357,0.0004357
59,1588.16,0.84605,0.80842,1.00088,0.76751,0.51584,0.64891,0.41487,1.30463,1.35431,1.19834,0.0004258,0.0004258,0.0004258
60,1615.52,0.82262,0.80559,0.99362,0.69186,0.5625,0.64693,0.41881,1.29544,1.35253,1.19555,0.0004159,0.0004159,0.0004159
61,1640.82,0.91793,0.81394,1.01625,0.70769,0.56749,0.64719,0.41835,1.29329,1.35345,1.1973,0.000406,0.000406,0.000406
62,1666.17,0.88316,0.85551,1.04489,0.81341,0.5,0.64001,0.41581,1.28598,1.35905,1.19699,0.0003961,0.0003961,0.0003961
63,1691.27,0.92175,0.97997,1.03266,0.83982,0.5,0.6387,0.41739,1.29109,1.36305,1.19864,0.0003862,0.0003862,0.0003862
64,1716.41,0.89964,1.11424,1.06933,0.80292,0.5,0.63846,0.41657,1.28167,1.3685,1.19116,0.0003763,0.0003763,0.0003763
65,1741.3,0.84518,0.89194,1.01262,0.86172,0.4869,0.64456,0.41791,1.28654,1.36154,1.18873,0.0003664,0.0003664,0.0003664
66,1766.5,0.84637,0.84684,1.02212,0.86312,0.49272,0.64332,0.41058,1.28506,1.36729,1.18619,0.0003565,0.0003565,0.0003565
